=== L0_naive_split seed=0 ===
config: configs\fgscr42\L0_naive_split.yaml  commit: bc73f71
classes=42 train=4661 val=1558 test=1559 groups=5233 train_imbalance=467.0x | classes absent from val/test: 1/0
model=resnet50 head=gap params=23.59M img_size=224
ep  48 | loss 0.6891 | val loss 0.7319 mpc 90.62 | test top1 98.78 mpc 91.29 f1 90.88 | 3.3s
ep  49 | loss 0.6886 | val loss 0.7340 mpc 90.15 | test top1 98.85 mpc 91.31 f1 90.82 | 3.3s
ep  50 | loss 0.6886 | val loss 0.7337 mpc 90.13 | test top1 98.65 mpc 91.21 f1 90.89 | 3.3s
ep  51 | loss 0.6885 | val loss 0.7336 mpc 90.13 | test top1 98.72 mpc 91.25 f1 90.92 | 3.3s
ep  52 | loss 0.6886 | val loss 0.7329 mpc 90.15 | test top1 98.78 mpc 91.29 f1 90.96 | 3.3s
ep  53 | loss 0.6882 | val loss 0.7322 mpc 90.32 | test top1 98.85 mpc 91.31 f1 90.97 | 3.3s
ep  54 | loss 0.6882 | val loss 0.7328 mpc 90.19 | test top1 98.78 mpc 91.27 f1 90.95 | 3.3s
ep  55 | loss 0.6884 | val loss 0.7329 mpc 90.17 | test top1 98.72 mpc 91.11 f1 90.85 | 3.3s
ep  56 | loss 0.6884 | val loss 0.7331 mpc 90.19 | test top1 98.72 mpc 91.11 f1 90.86 | 3.3s
ep  57 | loss 0.6882 | val loss 0.7330 mpc 90.15 | test top1 98.65 mpc 91.06 f1 91.07 | 3.3s
ep  58 | loss 0.6883 | val loss 0.7326 mpc 90.18 | test top1 98.65 mpc 91.06 f1 90.82 | 3.3s
ep  59 | loss 0.6883 | val loss 0.7332 mpc 90.19 | test top1 98.72 mpc 91.11 f1 90.85 | 3.3s
best val epoch 29 (val mpc 93.75) -> test top1=98.65 mpc=91.21 f1=90.89 | wall 6.9min
-> runs\L0_naive_split\seed0
