=== L2z_zoom_only seed=0 ===
config: configs\fgscr42\L2z.yaml  commit: bc73f71
classes=42 train=4738 val=1558 test=1482 groups=5233 train_imbalance=472.0x | classes absent from val/test: 1/0
model=resnet50 head=gap params=23.59M img_size=448
ep  48 | loss 0.6897 | val loss 0.8494 mpc 84.65 | test top1 96.83 mpc 86.59 f1 85.20 | 13.8s
ep  49 | loss 0.6894 | val loss 0.8418 mpc 85.33 | test top1 96.96 mpc 86.83 f1 85.43 | 13.8s
ep  50 | loss 0.6891 | val loss 0.8475 mpc 85.00 | test top1 96.90 mpc 86.65 f1 85.00 | 13.8s
ep  51 | loss 0.6893 | val loss 0.8478 mpc 84.98 | test top1 96.69 mpc 86.40 f1 85.07 | 13.8s
ep  52 | loss 0.6890 | val loss 0.8487 mpc 84.98 | test top1 96.90 mpc 88.84 f1 87.47 | 13.8s
ep  53 | loss 0.6895 | val loss 0.8499 mpc 85.25 | test top1 96.83 mpc 86.63 f1 84.98 | 13.8s
ep  54 | loss 0.6893 | val loss 0.8492 mpc 85.20 | test top1 97.10 mpc 88.97 f1 87.45 | 13.8s
ep  55 | loss 0.6889 | val loss 0.8518 mpc 84.89 | test top1 96.96 mpc 86.66 f1 85.06 | 13.8s
ep  56 | loss 0.6892 | val loss 0.8469 mpc 84.82 | test top1 97.17 mpc 86.75 f1 85.57 | 13.7s
ep  57 | loss 0.6891 | val loss 0.8460 mpc 85.32 | test top1 97.03 mpc 86.88 f1 85.28 | 14.0s
ep  58 | loss 0.6893 | val loss 0.8487 mpc 84.76 | test top1 97.10 mpc 86.59 f1 85.28 | 14.0s
ep  59 | loss 0.6891 | val loss 0.8493 mpc 84.89 | test top1 97.03 mpc 86.57 f1 85.27 | 14.2s
best val epoch 28 (val mpc 88.09) -> test top1=96.90 mpc=89.23 f1=87.44 | wall 20.3min
-> runs\L2z_zoom_only\seed0
