=== L6a_convnext_tiny seed=2 ===
config: configs\fgscr42\L6a_convnext.yaml  commit: bc73f71
classes=42 train=4789 val=1512 test=1477 groups=5233 train_imbalance=477.0x | classes absent from val/test: 1/0
model=convnext_tiny head=gap params=27.85M img_size=448
ep   0 | loss 2.6483 | val loss 1.8388 mpc 30.89 | test top1 62.29 mpc 29.46 f1 26.76 | 26.3s
ep   1 | loss 1.3447 | val loss 1.2041 mpc 61.25 | test top1 82.87 mpc 58.99 f1 56.64 | 13.0s
ep   2 | loss 0.9862 | val loss 1.1694 mpc 70.72 | test top1 85.44 mpc 69.53 f1 68.87 | 12.8s
ep   3 | loss 0.8835 | val loss 0.9142 mpc 81.85 | test top1 95.94 mpc 83.49 f1 81.94 | 12.9s
ep   4 | loss 0.8497 | val loss 0.9179 mpc 79.99 | test top1 93.64 mpc 81.14 f1 80.69 | 12.9s
ep   5 | loss 0.8034 | val loss 0.8649 mpc 82.82 | test top1 95.67 mpc 77.34 f1 77.00 | 12.9s
ep   6 | loss 0.7710 | val loss 0.9235 mpc 79.19 | test top1 95.26 mpc 79.72 f1 79.82 | 12.9s
ep   7 | loss 0.7479 | val loss 0.8291 mpc 83.28 | test top1 95.87 mpc 85.80 f1 85.62 | 12.9s
ep   8 | loss 0.7388 | val loss 0.8126 mpc 82.87 | test top1 96.01 mpc 83.63 f1 82.64 | 12.9s
ep   9 | loss 0.7203 | val loss 0.8184 mpc 90.67 | test top1 97.70 mpc 90.17 f1 88.75 | 13.0s
ep  10 | loss 0.7103 | val loss 0.7573 mpc 89.79 | test top1 98.38 mpc 89.20 f1 89.19 | 12.9s
ep  11 | loss 0.7021 | val loss 0.7545 mpc 92.67 | test top1 98.65 mpc 90.76 f1 91.06 | 13.0s
ep  12 | loss 0.6974 | val loss 0.7780 mpc 93.89 | test top1 98.24 mpc 93.37 f1 92.45 | 12.9s
ep  13 | loss 0.6966 | val loss 0.7773 mpc 88.82 | test top1 97.63 mpc 91.88 f1 91.51 | 12.8s
ep  14 | loss 0.6923 | val loss 0.7581 mpc 90.84 | test top1 98.51 mpc 92.17 f1 91.89 | 13.0s
ep  15 | loss 0.6895 | val loss 0.7632 mpc 90.07 | test top1 98.38 mpc 92.55 f1 92.34 | 13.0s
