=== L3_compact_bilinear seed=2 ===
config: configs\fgscr42\L3.yaml  commit: bc73f71
classes=42 train=4789 val=1512 test=1477 groups=5233 train_imbalance=477.0x | classes absent from val/test: 1/0
model=resnet50 head=compact_bilinear params=23.85M img_size=448
ep  48 | loss 0.6858 | val loss 0.8278 mpc 85.96 | test top1 96.34 mpc 87.32 f1 85.99 | 13.7s
ep  49 | loss 0.6859 | val loss 0.8272 mpc 86.18 | test top1 96.48 mpc 87.57 f1 86.25 | 13.8s
ep  50 | loss 0.6868 | val loss 0.8256 mpc 86.19 | test top1 96.41 mpc 87.84 f1 85.87 | 13.6s
ep  51 | loss 0.6863 | val loss 0.8257 mpc 86.84 | test top1 96.75 mpc 87.42 f1 85.29 | 13.7s
ep  52 | loss 0.6864 | val loss 0.8273 mpc 86.55 | test top1 96.55 mpc 87.37 f1 84.94 | 13.7s
ep  53 | loss 0.6861 | val loss 0.8373 mpc 86.12 | test top1 96.28 mpc 87.24 f1 84.87 | 13.7s
ep  54 | loss 0.6856 | val loss 0.8259 mpc 86.65 | test top1 96.68 mpc 87.35 f1 85.30 | 13.8s
ep  55 | loss 0.6862 | val loss 0.8285 mpc 86.36 | test top1 96.61 mpc 88.49 f1 86.66 | 13.8s
ep  56 | loss 0.6857 | val loss 0.8336 mpc 86.29 | test top1 96.34 mpc 87.28 f1 85.14 | 13.7s
ep  57 | loss 0.6858 | val loss 0.8265 mpc 86.61 | test top1 96.41 mpc 87.31 f1 85.08 | 13.8s
ep  58 | loss 0.6862 | val loss 0.8254 mpc 86.58 | test top1 96.75 mpc 87.99 f1 86.51 | 13.8s
ep  59 | loss 0.6858 | val loss 0.8271 mpc 86.57 | test top1 96.68 mpc 87.99 f1 86.32 | 13.7s
best val epoch 36 (val mpc 87.66) -> test top1=96.68 mpc=86.85 f1=84.95 | wall 19.7min
-> runs\L3_compact_bilinear\seed2
