=== L1_320 seed=2 ===
config: configs\fgscr42\L1_320.yaml  commit: bc73f71
classes=42 train=4789 val=1512 test=1477 groups=5233 train_imbalance=477.0x | classes absent from val/test: 1/0
model=resnet50 head=gap params=23.59M img_size=320
ep   0 | loss 3.5286 | val loss 3.2302 mpc 6.56 | test top1 26.68 mpc 6.80 f1 4.86 | 15.0s
ep   1 | loss 2.9872 | val loss 2.5547 mpc 12.27 | test top1 40.35 mpc 12.32 f1 9.98 | 6.0s
ep   2 | loss 2.2028 | val loss 1.6816 mpc 40.21 | test top1 71.02 mpc 37.16 f1 36.40 | 6.0s
ep   3 | loss 1.4224 | val loss 1.1989 mpc 66.37 | test top1 84.50 mpc 60.83 f1 59.57 | 6.0s
ep   4 | loss 1.0296 | val loss 0.9738 mpc 79.78 | test top1 92.96 mpc 76.75 f1 76.39 | 6.0s
ep   5 | loss 0.8524 | val loss 0.8826 mpc 84.03 | test top1 95.19 mpc 83.80 f1 83.40 | 6.0s
ep   6 | loss 0.7824 | val loss 0.8531 mpc 85.05 | test top1 96.14 mpc 81.90 f1 81.03 | 6.0s
ep   7 | loss 0.7477 | val loss 0.8250 mpc 90.23 | test top1 96.89 mpc 88.16 f1 87.55 | 6.0s
ep   8 | loss 0.7374 | val loss 0.8107 mpc 88.29 | test top1 96.61 mpc 84.71 f1 83.54 | 6.0s
ep   9 | loss 0.7256 | val loss 0.7996 mpc 90.96 | test top1 96.55 mpc 84.53 f1 83.73 | 6.0s
ep  10 | loss 0.7210 | val loss 0.7880 mpc 90.73 | test top1 96.95 mpc 84.76 f1 84.22 | 6.2s
ep  11 | loss 0.7141 | val loss 0.7954 mpc 90.68 | test top1 97.09 mpc 85.16 f1 84.31 | 6.0s
ep  12 | loss 0.7108 | val loss 0.7838 mpc 88.26 | test top1 97.16 mpc 84.83 f1 84.06 | 6.0s
ep  13 | loss 0.7095 | val loss 0.7903 mpc 90.53 | test top1 97.16 mpc 85.18 f1 84.26 | 6.0s
ep  14 | loss 0.7051 | val loss 0.7790 mpc 90.86 | test top1 97.70 mpc 85.87 f1 85.09 | 6.0s
ep  15 | loss 0.7051 | val loss 0.7833 mpc 90.96 | test top1 97.29 mpc 85.49 f1 84.49 | 6.0s
ep  16 | loss 0.7020 | val loss 0.7770 mpc 90.96 | test top1 97.29 mpc 84.80 f1 84.20 | 6.0s
ep  17 | loss 0.7011 | val loss 0.7722 mpc 88.77 | test top1 97.63 mpc 87.80 f1 87.15 | 6.0s
ep  18 | loss 0.7007 | val loss 0.7786 mpc 90.83 | test top1 97.56 mpc 87.44 f1 86.71 | 6.0s
ep  19 | loss 0.7002 | val loss 0.7775 mpc 90.95 | test top1 97.70 mpc 87.85 f1 87.06 | 6.0s
ep  20 | loss 0.6987 | val loss 0.7698 mpc 90.99 | test top1 97.70 mpc 85.32 f1 85.07 | 6.0s
ep  21 | loss 0.6970 | val loss 0.7691 mpc 90.86 | test top1 97.77 mpc 85.08 f1 84.43 | 6.0s
ep  22 | loss 0.6961 | val loss 0.7725 mpc 91.03 | test top1 97.56 mpc 87.55 f1 87.02 | 6.0s
ep  23 | loss 0.6965 | val loss 0.7759 mpc 91.03 | test top1 97.49 mpc 85.00 f1 84.50 | 6.0s
ep  24 | loss 0.6954 | val loss 0.7707 mpc 90.94 | test top1 97.70 mpc 87.78 f1 86.69 | 6.0s
ep  25 | loss 0.6936 | val loss 0.7622 mpc 91.22 | test top1 97.70 mpc 87.66 f1 87.01 | 6.0s
ep  26 | loss 0.6927 | val loss 0.7634 mpc 91.11 | test top1 97.49 mpc 87.29 f1 86.60 | 6.0s
ep  27 | loss 0.6930 | val loss 0.7663 mpc 90.94 | test top1 97.97 mpc 85.57 f1 85.07 | 6.0s
ep  28 | loss 0.6932 | val loss 0.7677 mpc 90.85 | test top1 97.90 mpc 87.91 f1 87.50 | 6.0s
ep  29 | loss 0.6925 | val loss 0.7635 mpc 91.11 | test top1 98.04 mpc 87.83 f1 87.36 | 6.0s
ep  30 | loss 0.6916 | val loss 0.7652 mpc 90.92 | test top1 98.10 mpc 87.98 f1 87.10 | 6.0s
ep  31 | loss 0.6913 | val loss 0.7601 mpc 90.88 | test top1 97.90 mpc 87.85 f1 87.48 | 6.0s
ep  32 | loss 0.6910 | val loss 0.7618 mpc 93.35 | test top1 97.97 mpc 87.88 f1 87.11 | 6.0s
ep  33 | loss 0.6907 | val loss 0.7622 mpc 91.16 | test top1 98.04 mpc 87.96 f1 87.31 | 6.2s
ep  34 | loss 0.6909 | val loss 0.7621 mpc 91.11 | test top1 97.90 mpc 87.54 f1 87.14 | 6.0s
ep  35 | loss 0.6899 | val loss 0.7602 mpc 91.14 | test top1 97.70 mpc 87.76 f1 87.42 | 6.0s
ep  36 | loss 0.6900 | val loss 0.7595 mpc 90.92 | test top1 97.97 mpc 87.90 f1 87.64 | 6.0s
ep  37 | loss 0.6896 | val loss 0.7606 mpc 91.19 | test top1 98.17 mpc 88.00 f1 87.51 | 6.0s
ep  38 | loss 0.6893 | val loss 0.7639 mpc 90.91 | test top1 97.90 mpc 87.91 f1 87.38 | 6.0s
ep  39 | loss 0.6894 | val loss 0.7619 mpc 91.11 | test top1 97.97 mpc 87.88 f1 87.43 | 6.0s
ep  40 | loss 0.6894 | val loss 0.7620 mpc 90.84 | test top1 97.90 mpc 87.78 f1 87.24 | 6.0s
ep  41 | loss 0.6895 | val loss 0.7604 mpc 90.80 | test top1 97.90 mpc 87.73 f1 87.31 | 6.0s
ep  42 | loss 0.6888 | val loss 0.7581 mpc 90.90 | test top1 97.97 mpc 87.88 f1 87.65 | 6.0s
ep  43 | loss 0.6884 | val loss 0.7593 mpc 90.88 | test top1 98.04 mpc 87.96 f1 87.47 | 6.0s
