=== L2z_zoom_only seed=2 ===
config: configs\fgscr42\L2z.yaml  commit: bc73f71
classes=42 train=4789 val=1512 test=1477 groups=5233 train_imbalance=477.0x | classes absent from val/test: 1/0
model=resnet50 head=gap params=23.59M img_size=448
ep   0 | loss 3.5282 | val loss 3.2279 mpc 6.10 | test top1 25.12 mpc 6.34 f1 4.35 | 20.5s
ep   1 | loss 2.9745 | val loss 2.6815 mpc 9.46 | test top1 33.31 mpc 9.34 f1 6.56 | 11.6s
ep   2 | loss 2.3661 | val loss 1.9871 mpc 28.33 | test top1 56.40 mpc 26.29 f1 23.93 | 11.6s
ep   3 | loss 1.5981 | val loss 1.4766 mpc 52.67 | test top1 76.51 mpc 51.30 f1 50.93 | 11.6s
ep   4 | loss 1.1103 | val loss 1.1514 mpc 68.03 | test top1 87.14 mpc 61.93 f1 62.72 | 11.6s
ep   5 | loss 0.8947 | val loss 1.0219 mpc 80.87 | test top1 92.01 mpc 80.98 f1 80.01 | 11.6s
ep   6 | loss 0.7991 | val loss 0.9409 mpc 80.12 | test top1 94.25 mpc 83.52 f1 83.34 | 11.6s
ep   7 | loss 0.7587 | val loss 0.9399 mpc 84.95 | test top1 94.79 mpc 85.50 f1 84.29 | 11.6s
ep   8 | loss 0.7418 | val loss 0.9253 mpc 80.48 | test top1 94.79 mpc 83.59 f1 82.36 | 11.7s
ep   9 | loss 0.7294 | val loss 0.9253 mpc 87.45 | test top1 94.38 mpc 83.58 f1 83.27 | 11.6s
ep  10 | loss 0.7232 | val loss 0.9067 mpc 87.44 | test top1 94.72 mpc 86.16 f1 85.79 | 11.6s
ep  11 | loss 0.7155 | val loss 0.9091 mpc 87.43 | test top1 94.65 mpc 86.03 f1 85.39 | 11.6s
ep  12 | loss 0.7122 | val loss 0.8897 mpc 87.25 | test top1 95.13 mpc 81.04 f1 80.90 | 11.6s
ep  13 | loss 0.7113 | val loss 0.8853 mpc 85.07 | test top1 95.40 mpc 84.07 f1 83.64 | 11.6s
ep  14 | loss 0.7090 | val loss 0.8960 mpc 85.16 | test top1 95.60 mpc 84.43 f1 84.07 | 11.6s
ep  15 | loss 0.7072 | val loss 0.8900 mpc 86.82 | test top1 95.46 mpc 83.67 f1 82.72 | 11.6s
ep  16 | loss 0.7038 | val loss 0.8742 mpc 84.98 | test top1 95.60 mpc 83.70 f1 83.30 | 11.6s
ep  17 | loss 0.7035 | val loss 0.8762 mpc 86.91 | test top1 95.67 mpc 83.68 f1 83.27 | 11.6s
ep  18 | loss 0.7024 | val loss 0.8706 mpc 85.84 | test top1 96.28 mpc 84.37 f1 84.24 | 11.6s
ep  19 | loss 0.7008 | val loss 0.8806 mpc 88.33 | test top1 95.80 mpc 83.76 f1 82.85 | 11.6s
ep  20 | loss 0.6995 | val loss 0.8604 mpc 88.14 | test top1 96.14 mpc 84.21 f1 83.95 | 11.7s
ep  21 | loss 0.6981 | val loss 0.8722 mpc 87.98 | test top1 96.07 mpc 84.15 f1 83.62 | 11.6s
ep  22 | loss 0.6977 | val loss 0.8632 mpc 87.99 | test top1 96.21 mpc 84.07 f1 83.31 | 11.6s
ep  23 | loss 0.6977 | val loss 0.8721 mpc 90.51 | test top1 95.87 mpc 86.59 f1 86.40 | 11.6s
ep  24 | loss 0.6967 | val loss 0.8772 mpc 84.48 | test top1 96.28 mpc 86.45 f1 85.43 | 11.6s
ep  25 | loss 0.6949 | val loss 0.8607 mpc 85.91 | test top1 96.14 mpc 84.66 f1 84.22 | 11.6s
ep  26 | loss 0.6942 | val loss 0.8645 mpc 85.79 | test top1 96.14 mpc 82.00 f1 81.98 | 11.6s
ep  27 | loss 0.6944 | val loss 0.8673 mpc 85.77 | test top1 96.41 mpc 86.81 f1 86.79 | 11.6s
ep  28 | loss 0.6946 | val loss 0.8606 mpc 85.67 | test top1 96.14 mpc 84.32 f1 84.24 | 11.6s
