=== L6a_convnext_tiny seed=1 ===
config: configs\fgscr42\L6a_convnext.yaml  commit: bc73f71
classes=42 train=4634 val=1550 test=1594 groups=5233 train_imbalance=463.0x | classes absent from val/test: 1/0
model=convnext_tiny head=gap params=27.85M img_size=448
ep  48 | loss 0.6829 | val loss 0.7186 mpc 96.28 | test top1 99.37 mpc 91.90 f1 91.30 | 12.3s
ep  49 | loss 0.6828 | val loss 0.7197 mpc 95.85 | test top1 99.37 mpc 91.90 f1 91.30 | 12.4s
ep  50 | loss 0.6828 | val loss 0.7213 mpc 95.83 | test top1 99.25 mpc 91.86 f1 91.24 | 12.4s
ep  51 | loss 0.6828 | val loss 0.7204 mpc 95.99 | test top1 99.31 mpc 91.88 f1 91.26 | 12.4s
ep  52 | loss 0.6828 | val loss 0.7210 mpc 95.99 | test top1 99.37 mpc 91.90 f1 91.30 | 12.4s
ep  53 | loss 0.6828 | val loss 0.7206 mpc 95.99 | test top1 99.37 mpc 91.90 f1 91.30 | 12.4s
ep  54 | loss 0.6828 | val loss 0.7210 mpc 96.23 | test top1 99.37 mpc 91.90 f1 91.30 | 12.5s
ep  55 | loss 0.6827 | val loss 0.7205 mpc 96.23 | test top1 99.37 mpc 91.90 f1 91.30 | 12.4s
ep  56 | loss 0.6828 | val loss 0.7205 mpc 96.23 | test top1 99.37 mpc 91.90 f1 91.30 | 12.5s
ep  57 | loss 0.6828 | val loss 0.7204 mpc 96.10 | test top1 99.37 mpc 91.90 f1 91.30 | 12.4s
ep  58 | loss 0.6827 | val loss 0.7205 mpc 96.10 | test top1 99.37 mpc 91.90 f1 91.30 | 12.5s
ep  59 | loss 0.6828 | val loss 0.7204 mpc 96.10 | test top1 99.37 mpc 91.90 f1 91.30 | 12.4s
best val epoch 31 (val mpc 97.08) -> test top1=99.31 mpc=91.74 f1=91.21 | wall 18.7min
-> runs\L6a_convnext_tiny\seed1
