=== L4_cbam seed=2 ===
config: configs\fgscr42\L4.yaml  commit: bc73f71
classes=42 train=4789 val=1512 test=1477 groups=5233 train_imbalance=477.0x | classes absent from val/test: 1/0
model=resnet50 head=cbam params=24.12M img_size=448
ep   0 | loss 3.5551 | val loss 3.2358 mpc 4.65 | test top1 19.30 mpc 4.59 f1 2.29 | 21.6s
ep   1 | loss 3.0042 | val loss 2.8226 mpc 8.37 | test top1 29.25 mpc 8.02 f1 6.02 | 12.9s
ep   2 | loss 2.4861 | val loss 2.1428 mpc 24.15 | test top1 54.98 mpc 23.88 f1 23.76 | 12.9s
ep   3 | loss 1.7409 | val loss 1.5267 mpc 47.41 | test top1 75.02 mpc 46.75 f1 44.93 | 13.0s
ep   4 | loss 1.2199 | val loss 1.1954 mpc 65.94 | test top1 85.38 mpc 63.00 f1 61.01 | 13.0s
ep   5 | loss 0.9679 | val loss 1.0610 mpc 75.80 | test top1 89.91 mpc 72.71 f1 71.41 | 13.0s
ep   6 | loss 0.8689 | val loss 1.0107 mpc 80.11 | test top1 92.35 mpc 78.10 f1 75.91 | 13.0s
ep   7 | loss 0.8199 | val loss 0.9746 mpc 84.25 | test top1 93.97 mpc 83.31 f1 81.53 | 12.9s
ep   8 | loss 0.7827 | val loss 0.8994 mpc 87.25 | test top1 95.87 mpc 82.65 f1 79.85 | 12.9s
ep   9 | loss 0.7642 | val loss 0.9249 mpc 84.77 | test top1 95.33 mpc 85.68 f1 84.16 | 12.9s
ep  10 | loss 0.7485 | val loss 0.8949 mpc 86.16 | test top1 95.73 mpc 87.18 f1 85.13 | 13.0s
ep  11 | loss 0.7381 | val loss 0.8714 mpc 89.69 | test top1 96.95 mpc 88.25 f1 86.12 | 13.0s
ep  12 | loss 0.7301 | val loss 0.8673 mpc 86.25 | test top1 96.48 mpc 87.87 f1 85.26 | 13.0s
ep  13 | loss 0.7245 | val loss 0.8650 mpc 87.62 | test top1 96.75 mpc 87.85 f1 86.86 | 13.0s
ep  14 | loss 0.7196 | val loss 0.8460 mpc 87.23 | test top1 97.22 mpc 88.54 f1 87.54 | 13.0s
ep  15 | loss 0.7176 | val loss 0.8546 mpc 87.28 | test top1 97.02 mpc 88.36 f1 87.26 | 12.9s
ep  16 | loss 0.7137 | val loss 0.8342 mpc 88.18 | test top1 97.70 mpc 87.04 f1 86.10 | 13.0s
ep  17 | loss 0.7106 | val loss 0.8557 mpc 86.92 | test top1 96.68 mpc 88.21 f1 86.41 | 12.9s
