=== L2z_zoom_only seed=1 ===
config: configs\fgscr42\L2z.yaml  commit: bc73f71
classes=42 train=4634 val=1550 test=1594 groups=5233 train_imbalance=463.0x | classes absent from val/test: 1/0
model=resnet50 head=gap params=23.59M img_size=448
ep   0 | loss 3.5275 | val loss 3.2509 mpc 4.21 | test top1 14.49 mpc 3.90 f1 1.72 | 20.3s
ep   1 | loss 2.9879 | val loss 2.8295 mpc 11.29 | test top1 35.88 mpc 10.25 f1 8.36 | 11.3s
ep   2 | loss 2.4771 | val loss 2.2246 mpc 19.05 | test top1 48.37 mpc 19.15 f1 18.71 | 11.3s
ep   3 | loss 1.7810 | val loss 1.6065 mpc 38.93 | test top1 72.33 mpc 40.16 f1 39.91 | 11.2s
ep   4 | loss 1.2170 | val loss 1.2474 mpc 65.26 | test top1 85.88 mpc 63.80 f1 65.07 | 11.3s
ep   5 | loss 0.9468 | val loss 1.0950 mpc 74.04 | test top1 91.15 mpc 72.45 f1 73.63 | 11.2s
ep   6 | loss 0.8403 | val loss 1.0463 mpc 80.11 | test top1 92.16 mpc 81.28 f1 80.66 | 11.2s
ep   7 | loss 0.7884 | val loss 1.0037 mpc 80.10 | test top1 93.91 mpc 83.60 f1 82.14 | 11.2s
ep   8 | loss 0.7556 | val loss 0.9717 mpc 83.50 | test top1 94.67 mpc 85.45 f1 83.31 | 11.2s
ep   9 | loss 0.7386 | val loss 0.9534 mpc 85.82 | test top1 95.17 mpc 87.80 f1 86.23 | 11.2s
ep  10 | loss 0.7310 | val loss 0.9260 mpc 85.05 | test top1 95.98 mpc 87.02 f1 86.12 | 11.2s
ep  11 | loss 0.7240 | val loss 0.9171 mpc 87.64 | test top1 96.42 mpc 90.41 f1 90.57 | 11.3s
ep  12 | loss 0.7170 | val loss 0.9125 mpc 85.81 | test top1 96.24 mpc 86.74 f1 85.82 | 11.2s
ep  13 | loss 0.7141 | val loss 0.9029 mpc 87.18 | test top1 96.55 mpc 87.14 f1 86.55 | 11.3s
ep  14 | loss 0.7105 | val loss 0.9126 mpc 85.52 | test top1 96.30 mpc 86.54 f1 86.66 | 11.2s
ep  15 | loss 0.7095 | val loss 0.9079 mpc 88.26 | test top1 96.86 mpc 87.52 f1 87.53 | 11.2s
ep  16 | loss 0.7090 | val loss 0.9074 mpc 88.02 | test top1 96.74 mpc 87.31 f1 86.80 | 12.4s
ep  17 | loss 0.7056 | val loss 0.9104 mpc 86.32 | test top1 96.74 mpc 88.35 f1 88.92 | 13.1s
ep  18 | loss 0.7034 | val loss 0.8969 mpc 86.94 | test top1 96.61 mpc 87.02 f1 86.53 | 11.3s
ep  19 | loss 0.7019 | val loss 0.8906 mpc 86.25 | test top1 97.18 mpc 88.56 f1 87.94 | 11.2s
ep  20 | loss 0.7016 | val loss 0.8927 mpc 88.09 | test top1 97.24 mpc 90.66 f1 90.34 | 11.3s
ep  21 | loss 0.6989 | val loss 0.8786 mpc 87.41 | test top1 97.05 mpc 87.06 f1 87.09 | 11.3s
ep  22 | loss 0.6995 | val loss 0.8871 mpc 88.30 | test top1 96.93 mpc 87.60 f1 88.32 | 11.2s
ep  23 | loss 0.6972 | val loss 0.8913 mpc 87.61 | test top1 97.37 mpc 88.15 f1 88.87 | 11.2s
ep  24 | loss 0.6972 | val loss 0.8844 mpc 88.40 | test top1 97.55 mpc 88.60 f1 88.27 | 11.3s
ep  25 | loss 0.6967 | val loss 0.8741 mpc 89.04 | test top1 97.55 mpc 89.10 f1 89.56 | 11.3s
ep  26 | loss 0.6962 | val loss 0.8955 mpc 85.86 | test top1 97.43 mpc 87.98 f1 87.95 | 11.2s
ep  27 | loss 0.6960 | val loss 0.8853 mpc 87.22 | test top1 97.43 mpc 87.16 f1 87.44 | 11.6s
ep  28 | loss 0.6947 | val loss 0.8897 mpc 88.25 | test top1 97.43 mpc 88.22 f1 87.64 | 11.3s
ep  29 | loss 0.6948 | val loss 0.8874 mpc 87.94 | test top1 97.30 mpc 87.69 f1 88.44 | 11.5s
ep  30 | loss 0.6942 | val loss 0.8844 mpc 87.62 | test top1 97.05 mpc 87.06 f1 87.26 | 11.4s
ep  31 | loss 0.6930 | val loss 0.8855 mpc 88.08 | test top1 97.43 mpc 87.88 f1 87.83 | 13.5s
ep  32 | loss 0.6937 | val loss 0.8827 mpc 87.35 | test top1 97.37 mpc 88.17 f1 88.77 | 13.0s
